Time, Remote IP, Local Port, Protocol
14,100558150,53,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
16,3417402628,68,5
16,3417402628,68,5
16,3417402628,68,5
19,3735096405,80,10
19,3735096405,80,10
20,3331304885,80,10
20,3331304885,80,10
23,919064807,80,10
23,919064807,80,10
23,919064807,80,10
23,919064807,80,10
0,3344118766,443,10
0,3344118766,443,10
1,3344118766,443,10
1,3344118766,443,10
1,3344118766,443,10
3,1652481762,53,5
5,3662499618,80,10
5,3662499618,80,10
5,1866713897,80,10
5,1866713897,80,10
7,3662499618,443,10
7,3662499618,443,10
10,3093924685,53,5
13,1434745589,80,10
13,1434745589,80,10
13,3417402628,68,5
13,3417402628,68,5
13,3417402628,68,5
13,3417402628,68,5
13,3417402628,68,5
13,3417402628,68,5
14,3417402628,68,5
14,3417402628,68,5
14,3417402628,68,5
14,3417402628,68,5
14,3417402628,68,5
14,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
16,3323217226,53,10
16,3323217226,53,10
16,3323217226,53,5
16,3707337779,80,10
16,3707337779,80,10
16,3662422862,443,10
16,3662422862,443,10
17,3002702366,80,10
17,3002702366,80,10
17,2026273913,80,10
17,2026273913,80,10
17,2026273913,80,10
17,2026273913,80,10
19,3184413459,80,10
19,3184413459,80,10
19,3184413459,80,10
19,3184413459,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
22,1851400143,80,10
1,3029933171,80,10
1,3029933171,80,10
1,3029933171,80,10
1,3029933171,80,10
2,3662499618,443,10
2,3662499618,443,10
4,1604808429,80,10
4,1604808429,80,10
4,1604808429,80,10
4,1604808429,80,10
10,3093924685,53,5
11,3680137861,80,10
11,3680137861,80,10
11,3721439415,80,10
11,3721439415,80,10
14,2307338335,80,10
14,2307338335,80,10
15,3417402628,68,5
15,3417402628,68,5
15,3417402628,68,5
16,3417402628,68,5
16,3417402628,68,5
16,3417402628,68,5
17,3662499618,80,10
17,3662499618,80,10
18,3396350783,53,5
20,3662499618,443,10
20,3662499618,443,10
21,2181098769,80,10
21,2181098769,80,10
21,2181098769,80,10
21,2181098769,80,10
3,2095298806,80,10
3,2095298806,80,10
3,2095298806,80,10
3,2095298806,80,10
3,2095298806,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1208960773,80,10
5,1037698514,80,10
5,1037698514,80,10
6,1866713897,80,10
6,1866713897,80,10
10,3093924685,53,5
10,3547552124,80,10
10,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
11,3547552124,80,10
13,3662499618,80,10
13,3662499618,80,10
14,919071227,80,10
14,919071227,80,10
14,3528707258,80,10
14,3528707258,80,10
14,3528707258,80,10
14,3528707258,80,10
16,1089295161,80,10
16,1089295161,80,10
16,1089295161,80,10
16,1089295161,80,10
16,1089295161,80,10
16,1089295161,80,10
16,1089295161,80,10
17,3662499618,443,10
17,3662499618,443,10
17,1038576670,80,10
17,1038576670,80,10
20,1534661662,80,10
20,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
21,1534661662,80,10
23,1867066828,80,10
23,1867066828,80,10
23,1867066828,80,10
23,1867066828,80,10
23,2112332229,80,10
23,2112332229,80,10
4,2257832819,53,5
8,3662499618,80,10
8,3662499618,80,10
8,3425369346,53,5
9,3663714664,80,10
9,3663714664,80,10
9,3663714664,80,10
9,3663714664,80,10
10,3093924685,53,5
11,3662499618,443,10
11,3662499618,443,10
15,1563677042,80,10
15,1563677042,80,10
15,1563677042,80,10
15,1563677042,80,10
17,2194656056,443,10
17,2194656056,443,10
19,1992306715,443,10
19,1992306715,443,10
