1,    1,    2013-10-31,    15:17:21,    9,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106004B64FE39FFFF00000000000000000000000000000000000018E2C2ADDE9C00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D070118E2C2ADDE9C32040A0BFB79390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000,    300
2,    2,    2013-10-31,    15:17:21,    344,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106000DC5E01100000000000000000000000000000000000000004C0F6E2C0D3200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033D07014C0F6E2C0D3232040A0BFD990C09536865696C612D5043510C000000536865696C612D50433C084D53465420352E30370C010F03062C2E2F1F2179F92BFF,    308
3,    3,    2013-10-31,    15:17:22,    364,    +8:00,    10.11.255.187,    68,    10.11.252.118,    67,    UDP,    RX,    01010600F50BD53100000000000000000000000000000000000000004C2578F70894000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010332040A0BFFBB3D07014C2578F708943703010306FF000000000000000000000000000000000000000000000000000000000000000000000000,    300
4,    4,    2013-10-31,    15:17:22,    419,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600C038B9B1000B000000000000000000000000000000000000D05162EB76A10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205DC3C2B6468637063642D352E322E31303A4C696E75782D332E302E382B3A61726D76376C3A72696F6772616E64650C18616E64726F69642D366366353562666332393138636539313709012103060F1C333A3BFF,    330
5,    5,    2013-10-31,    15:17:23,    596,    +8:00,    10.11.251.88,    68,    10.11.252.118,    67,    UDP,    RX,    010106001479BBB9000080000A0BFB5800000000000000000000000090004E8122F300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070190004E8122F30C07416365722D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000000000,    300
6,    6,    2013-10-31,    15:17:28,    714,    +8:00,    10.11.255.27,    68,    10.11.252.118,    67,    UDP,    RX,    010106003FE545EA000000000A0BFF1B00000000000000000000000090A4DE8AF26300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D070190A4DE8AF2630C0A53616D73756E672D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF00000000000000000000,    300
7,    7,    2013-10-31,    15:17:29,    124,    +8:00,    10.11.253.153,    68,    10.11.252.118,    67,    UDP,    RX,    01010600DDF1687F000000000A0BFD990000000000000000000000004C0F6E2C0D3200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501083D07014C0F6E2C0D320C09536865696C612D50433C084D53465420352E30370D010F03062C2E2F1F2179F92BFCFF0000000000000000000000,    300
8,    8,    2013-10-31,    15:17:29,    947,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    01010600C038B9B1000F000000000000000000000000000000000000D05162EB76A10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205DC3C2B6468637063642D352E322E31303A4C696E75782D332E302E382B3A61726D76376C3A72696F6772616E64650C18616E64726F69642D366366353562666332393138636539313709012103060F1C333A3BFF,    330
9,    9,    2013-10-31,    15:17:31,    378,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060027AD8383000000000000000000000000000000000000000078F5FD3B04EE0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063825363350101390205DC3C0D64686370636420342E302E31350C18616E64726F69645F61326536306238646163393936343662370B01792103060F1C333A3B77FF,    302
10,    10,    2013-10-31,    15:17:31,    785,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    010106001B3C3F240000000000000000000000000000000000000000F0E77E4FAF1700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501013D0701F0E77E4FAF17390205DC3C0D64686370636420342E302E3135370B01792103060F1C333A3B77FF000000000000000000000000000000,    300
11,    11,    2013-10-31,    15:17:32,    406,    +8:00,    0.0.0.0,    68,    10.11.252.118,    67,    UDP,    RX,    0101060027AD8383000100000000000000000000000000000000000078F5FD3B04EE000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006382536335010332040A0BFD5536040A0BFFFE390205DC3C0D64686370636420342E302E31350C18616E64726F69645F61326536306238646163393936343662370B01792103060F1C333A3B77FF,    314
